sample,time_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg_absolute,pitch_deg_absolute,yaw_deg_absolute,roll_deg_zeroed,pitch_deg_zeroed,yaw_deg_zeroed
0,0.0501,0.011719,0.082031,9.917969,0.005859,-0.001953,0.001953,0.00384521,-0.00036621,0.00061035,1.00000000,0.4406,-0.0422,0.0698,0.0000,0.0000,0.0000
1,0.1001,0.011719,0.082031,9.917969,0.005859,-0.001953,0.001953,0.00415039,-0.00036621,0.00067139,1.00000000,0.4756,-0.0423,0.0768,0.0350,0.0000,0.0070
2,0.1501,0.011719,0.082031,9.957031,0.000000,-0.001953,0.000000,0.00421143,-0.00036621,0.00067139,1.00000000,0.4826,-0.0423,0.0768,0.0420,-0.0000,0.0070
3,0.2001,0.011719,0.082031,9.957031,0.003906,0.000000,0.000000,0.00427246,-0.00036621,0.00067139,1.00000000,0.4896,-0.0423,0.0768,0.0490,-0.0000,0.0070
4,0.2501,0.050781,0.082031,9.914062,0.009766,-0.001953,0.000000,0.00463867,-0.00054932,-0.03155518,0.99951172,0.5333,-0.0461,-3.6169,0.0909,-0.0323,-3.6865
5,0.3001,0.011719,0.082031,9.957031,-0.001953,0.001953,-0.001953,0.00469971,-0.00061035,-0.03454590,0.99938965,0.5406,-0.0513,-3.9597,0.0982,-0.0401,-4.0293
6,0.3501,0.011719,0.082031,9.957031,-0.001953,0.001953,-0.001953,0.00427246,-0.00091553,-0.03167725,0.99951172,0.4927,-0.0894,-3.6311,0.0503,-0.0756,-3.7004
7,0.4001,0.011719,0.082031,9.917969,0.001953,0.000000,0.000000,0.00427246,-0.00091553,-0.03167725,0.99951172,0.4927,-0.0894,-3.6311,0.0503,-0.0756,-3.7004
8,0.4501,0.011719,0.082031,9.917969,-0.001953,0.000000,0.000000,0.00433350,-0.00091553,-0.03167725,0.99951172,0.4997,-0.0891,-3.6311,0.0573,-0.0754,-3.7004
9,0.5001,0.011719,0.082031,9.957031,0.001953,-0.001953,0.000000,0.00433350,-0.00091553,-0.03173828,0.99951172,0.4997,-0.0891,-3.6381,0.0573,-0.0754,-3.7074
10,0.5501,0.011719,0.082031,9.917969,0.001953,-0.001953,0.000000,0.00433350,-0.00079346,-0.00280762,1.00000000,0.4968,-0.0895,-0.3221,0.0560,-0.0503,-0.3915
