sample,time_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg_zeroed,pitch_deg_zeroed,yaw_deg_zeroed
0,0.0401,0.242188,0.003906,9.953125,0.000000,0.000000,-0.001953,0.00201416,-0.01055908,0.13684082,0.99053955,0.0000,0.0000,0.0000
1,0.0801,0.203125,0.003906,9.953125,0.001953,0.001953,0.001953,0.00225830,-0.01190186,0.15216064,0.98828125,0.0233,-0.1558,1.7742
2,0.1201,0.242188,0.003906,9.953125,0.000000,0.000000,-0.001953,0.00225830,-0.01190186,0.15216064,0.98828125,0.0233,-0.1558,1.7742
3,0.1601,0.242188,0.003906,9.953125,-0.003906,0.000000,0.001953,0.00213623,-0.01159668,0.14709473,0.98907471,0.0091,-0.1192,1.1875
4,0.2001,0.242188,0.003906,9.953125,-0.003906,0.000000,0.001953,0.00207520,-0.01159668,0.14031982,0.99005127,-0.0054,-0.1185,0.4030
5,0.2401,0.203125,0.003906,9.953125,0.003906,0.000000,0.000000,0.00219727,-0.01159668,0.13446045,0.99084473,0.0018,-0.1208,-0.2752
6,0.2801,0.242188,0.003906,9.953125,-0.003906,-0.001953,0.000000,0.00225830,-0.01159668,0.13336182,0.99096680,0.0075,-0.1218,-0.4027
7,0.3201,0.203125,0.003906,9.914062,-0.005859,0.000000,0.000000,0.00225830,-0.01159668,0.13336182,0.99096680,0.0075,-0.1218,-0.4027
8,0.3601,0.242188,0.003906,9.953125,0.001953,-0.001953,0.000000,0.00164795,-0.01129150,0.10711670,0.99420166,-0.0874,-0.0825,-3.4307
9,0.4001,0.242188,0.003906,9.953125,0.001953,-0.001953,0.000000,0.00195312,-0.01123047,0.10705566,0.99420166,-0.0520,-0.0793,-3.4383
10,0.4401,0.242188,0.003906,9.953125,-0.003906,-0.001953,0.000000,0.00158691,-0.01129150,0.10723877,0.99414062,-0.0943,-0.0817,-3.4172
11,0.4801,0.242188,0.003906,9.953125,-0.005859,-0.001953,0.000000,0.00164795,-0.01165771,0.10797119,0.99407959,-0.0910,-0.1240,-3.3324
12,0.5201,0.242188,0.003906,9.953125,0.000000,0.000000,0.000000,0.00164795,-0.01165771,0.10797119,0.99407959,-0.0910,-0.1240,-3.3324
13,0.5601,0.242188,0.003906,9.953125,0.005859,0.000000,0.000000,0.00170898,-0.01165771,0.10803223,0.99407959,-0.0840,-0.1248,-3.3253
14,0.6001,0.242188,0.003906,9.953125,0.005859,0.000000,0.000000,0.00164795,-0.01165771,0.10791016,0.99407959,-0.0911,-0.1240,-3.3395
15,0.6401,0.242188,0.003906,9.953125,-0.005859,-0.001953,0.000000,0.00164795,-0.01165771,0.10778809,0.99407959,-0.0912,-0.1240,-3.3537
16,0.6801,0.242188,0.003906,9.953125,0.000000,0.000000,0.001953,0.00164795,-0.01165771,0.10754395,0.99414062,-0.0914,-0.1241,-3.3814
17,0.7201,0.203125,0.003906,9.914062,0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10754395,0.99414062,-0.0914,-0.1241,-3.3814
18,0.7601,0.242188,0.003906,9.953125,0.001953,0.000000,0.000000,0.00170898,-0.01202393,0.10809326,0.99407959,-0.0884,-0.1665,-3.3180
19,0.8001,0.242188,0.003906,9.914062,0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10754395,0.99414062,-0.0914,-0.1241,-3.3814
20,0.8401,0.242188,0.003906,9.953125,-0.003906,0.000000,-0.001953,0.00164795,-0.01165771,0.10778809,0.99407959,-0.0912,-0.1240,-3.3537
21,0.8801,0.242188,0.003906,9.953125,-0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10772705,0.99407959,-0.0913,-0.1240,-3.3608
22,0.9201,0.203125,0.003906,9.953125,0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10772705,0.99407959,-0.0913,-0.1240,-3.3608
23,0.9601,0.242188,0.003906,9.953125,-0.001953,-0.001953,0.000000,0.00164795,-0.01165771,0.10925293,0.99395752,-0.0896,-0.1237,-3.1844
24,1.0001,0.242188,0.003906,9.953125,-0.001953,-0.001953,0.000000,0.00164795,-0.01165771,0.10784912,0.99407959,-0.0911,-0.1240,-3.3466
25,1.0401,0.203125,0.003906,9.953125,-0.001953,-0.001953,0.000000,0.00164795,-0.01165771,0.10791016,0.99407959,-0.0911,-0.1240,-3.3395
26,1.0801,0.242188,0.003906,9.953125,0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10803223,0.99407959,-0.0909,-0.1240,-3.3253
27,1.1201,0.203125,0.003906,9.914062,0.000000,0.000000,-0.001953,0.00164795,-0.01165771,0.10803223,0.99407959,-0.0909,-0.1240,-3.3253
28,1.1601,0.242188,0.003906,9.953125,0.000000,-0.001953,0.000000,0.00164795,-0.01165771,0.10815430,0.99407959,-0.0908,-0.1240,-3.3110
29,1.2001,0.242188,0.003906,9.953125,0.000000,-0.001953,0.000000,0.00170898,-0.01165771,0.10833740,0.99401855,-0.0836,-0.1247,-3.2905
30,1.2401,0.242188,0.003906,9.953125,0.001953,0.000000,0.000000,0.00164795,-0.01165771,0.10845947,0.99401855,-0.0904,-0.1239,-3.2762
31,1.2801,0.242188,0.003906,9.953125,0.000000,0.000000,0.000000,0.00164795,-0.01165771,0.10852051,0.99401855,-0.0904,-0.1239,-3.2691
32,1.3201,0.242188,0.003906,9.953125,0.000000,0.000000,0.000000,0.00164795,-0.01165771,0.10852051,0.99401855,-0.0904,-0.1239,-3.2691
33,1.3601,0.242188,0.003906,9.953125,0.000000,0.000000,0.000000,0.00164795,-0.01165771,0.10864258,0.99401855,-0.0902,-0.1239,-3.2548
