sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,temp_c,diag_stat
0,0.0004664979999802199,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.649613704848444,5.649613704848444,5.649613704848442,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0,35.264389682754654,0.0,24.9,0xFFFF
1,0.020058623000011266,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6493453887612235,5.649558124572561,5.649937585317398,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.001919946616,35.262469736138655,-0.0019591292000029625,24.9,0xFFFF
2,0.04005546799999138,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.649076893263433,5.64950248672392,5.650261670939777,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.00384113147769,35.260548551276976,-0.003958704500001887,24.9,0xFFFF
3,0.06005462799998895,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.648813716370159,5.649447931189273,5.650579325699933,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.00572421555214,35.258665467202526,-0.005958609300000718,24.9,0xFFFF
4,0.08005456600000116,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.648555784631636,5.649394443925275,5.65089063891191,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.00756972702706,35.256819955727565,-0.007958604999998899,24.9,0xFFFF
5,0.1000564670000017,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.648302967025908,5.649341998898394,5.651195769348427,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.00937860590653,35.255011076848106,-0.0099588840000024,24.9,0xFFFF
6,0.12005540500001644,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6480552642242055,5.649290597347483,5.651494716813372,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0111508498424,35.25323883291224,-0.011958696300001747,24.9,0xFFFF
7,0.14005908299998282,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.647812427531377,5.649240188716561,5.651787782039068,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0128882405256,35.251501442229085,-0.013959112300000241,24.9,0xFFFF
8,0.16005646500002513,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6475745412033636,5.649190791508981,5.6520748639079645,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0145901774031,35.24979950535159,-0.01595880790000024,24.9,0xFFFF
9,0.1800566809999964,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.647341364114091,5.649142356631918,5.652356253957486,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.01625838777105,35.248131294983644,-0.01795882210000173,24.9,0xFFFF
10,0.20005565600001773,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.64711286063771,5.649094877615265,5.652631995699231,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.01789312858165,35.24649655417306,-0.0199587288000032,24.9,0xFFFF
11,0.22005635300001813,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.646888900938912,5.649048328376842,5.6529022463094645,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.01949533069,35.2448943520647,-0.021958794800002582,24.9,0xFFFF
12,0.24005705000001853,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.646669415126952,5.649002695248455,5.6531670906045,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02106549600822,35.24332418674649,-0.023958868200003283,24.9,0xFFFF
13,0.2600558030000002,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.646454343320397,5.6489579666092125,5.653426601304058,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02260405476807,35.24178562798665,-0.025958734200003167,24.9,0xFFFF
14,0.2800551849999806,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.646243559346674,5.6489141170142645,5.6536809310954705,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0241119113447,35.240277771410014,-0.02795867060000319,24.9,0xFFFF
15,0.30005565999999817,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.646036972029678,5.648871128256077,5.653930190415692,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02558971966783,35.238799963086905,-0.029958718099999265,24.9,0xFFFF
16,0.3200552650000077,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.645834524739735,5.648828989282303,5.654174448000696,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02703788646647,35.23735179628826,-0.031958678500001274,24.9,0xFFFF
17,0.3400555360000226,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.645636113997182,5.648787679257148,5.654413829094434,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02845715353115,35.23593252922358,-0.03395870379999907,24.9,0xFFFF
18,0.36005578800001103,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6454416681012685,5.648747183926589,5.6546484205804335,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.02984803525456,35.2345416475002,-0.035958729100002536,24.9,0xFFFF
19,0.3800561340000286,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.645251105614223,5.648707486978625,5.654878321072741,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03121111561146,35.23317856714329,-0.03795877100000099,24.9,0xFFFF
20,0.4000551459999997,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.645064371054596,5.648668577479794,5.655103597854967,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03254679284925,35.231842889905515,-0.039958668500003125,24.9,0xFFFF
21,0.42005526899998813,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644881352720921,5.648630432753442,5.6553243860185685,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03385586728228,35.2305338154725,-0.041958679000003954,24.9,0xFFFF
22,0.4400565770000071,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644701974652376,5.648593037539582,5.655540777520386,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03513888351063,35.22925079924415,-0.043958815299998844,24.9,0xFFFF
23,0.4600561810000272,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644526204466714,5.648556385639506,5.655752811733382,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03639607438242,35.227993608372344,-0.04595878320000112,24.9,0xFFFF
24,0.48005532299998777,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644353954153703,5.648520459233173,5.655960595123268,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.03762807057478,35.22676161217999,-0.04795869920000088,24.9,0xFFFF
25,0.5000618349999968,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644185031623131,5.648485218757082,5.656164359686347,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0388362471033,35.225553435651484,-0.049959452199999546,24.9,0xFFFF
26,0.5200550690000227,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.644019693158411,5.648450718172247,5.656363796555299,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04001877206923,35.224370910685536,-0.05195868680000332,24.9,0xFFFF
27,0.5400562479999849,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.643857541393734,5.648416875037333,5.656559385312403,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04117848855185,35.22321119420292,-0.053958780599998604,24.9,0xFFFF
28,0.5600554630000261,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.643698651490838,5.6483837054833055,5.656751035545337,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04231485998082,35.22207482277395,-0.05595872060000035,24.9,0xFFFF
29,0.5800574749999896,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.643542900668227,5.6483511843103065,5.656938895592674,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0434287654452,35.22096091730956,-0.05795892740000002,24.9,0xFFFF
30,0.6000563019999845,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6433903107624195,5.648319316494261,5.657122939349234,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0445200497023,35.21986963305246,-0.05995878410000162,24.9,0xFFFF
31,0.620056481000006,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.643240748574581,5.648288074617964,5.65730332769497,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04558966625027,35.218800016504495,-0.06195880200000377,24.9,0xFFFF
32,0.6400558810000234,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.643094186132838,5.648257453220964,5.657480094581204,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04663781598725,35.21775186676749,-0.06395874390000247,24.9,0xFFFF
33,0.6600558189999788,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.642950546745262,5.648227436648355,5.65765333271126,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04766504820154,35.21672463455324,-0.06595873219999933,24.9,0xFFFF
34,0.6800578680000058,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.642809743382477,5.648198007064525,5.6578231472446125,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0486719860635,35.21571769669126,-0.06795897590000098,24.9,0xFFFF
35,0.7000583430000233,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.642671781526116,5.648169165954358,5.6579895317601245,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.04965859112824,35.214731091626525,-0.06995902159999905,24.9,0xFFFF
36,0.7200563740000234,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6425366138288515,5.648140903749727,5.65815254354429,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.05062520272568,35.21376448002908,-0.0719588006000038,24.9,0xFFFF
