sample,time_s,sensor,accel_x_g,accel_y_g,accel_z_g,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_x_radps,gyro_y_radps,gyro_z_radps,roll_deg,pitch_deg,yaw_deg,accel_roll_deg,accel_pitch_deg,temp_c,diag_stat,prod_id
0,0.0005883539997739717,adis16470,-0.0275,0.09375,0.9925,-0.269682875,0.9193734375,9.733100125,9.171000000000001,0.5209999999999999,2.3470000000000004,0.16006414570039998,0.009093165402890456,0.04096287754430692,5.396059266774197,1.5801044978385672,0.0,5.396059266774197,1.5801044978385672,24.6,0x0000,0x4056
1,0.5006805960001657,adis16470,0.01875,0.02125,1.00125,0.1838746875,0.2083913125,9.8189083125,-10.129000000000001,0.12099999999999986,-0.7529999999999997,-0.17678439993450568,0.0021118483949131364,-0.013142329267517296,0.34821513869683723,1.5863529514848633,-0.37657810341895337,1.2158327659586539,-1.072587793513252,24.5,0x0000,0x4056
2,1.0007578019999528,adis16470,-0.02875,0.045,1.0,-0.2819411875,0.44129925,9.80665,-2.329,0.12099999999999986,1.1470000000000005,-0.04064871827894794,0.0021118483949131364,0.020018926520374968,-0.748569623240937,1.6468259862882209,0.19699320442416457,2.5765718302688305,1.6451360916511328,24.6,0x0000,0x4056
3,1.5008515810000063,adis16470,0.03,0.0825,0.9925,0.29419949999999995,0.809048625,9.733100125,-2.229,-0.3790000000000002,0.8470000000000005,-0.03890338902695361,-0.006614797865058513,0.014782938764391981,-1.7309826504972996,1.3936362710229964,0.6205739997540312,4.751697605113688,-1.7253882892859254,24.6,0x0000,0x4056
4,2.0009346940000796,adis16470,-0.04875,0.0275,0.995,-0.47807418749999997,0.269682875,9.757616749999999,-0.9289999999999998,0.32099999999999984,1.7470000000000006,-0.016214108751027318,0.005602506898901795,0.030490902032340946,-2.119985303970236,1.5791574228355707,1.4942184539430856,1.5831486707843039,2.803893277828228,24.400000000000002,0x0000,0x4056
5,2.5010496949998924,adis16470,-0.0575,0.043750000000000004,0.99375,-0.563882375,0.4290409375,9.7453584375,-4.429,0.22099999999999986,1.8470000000000004,-0.07730063257082886,0.003857177646907466,0.032236231284335275,-4.197895875247823,1.722056817545504,2.4179383854679557,2.520827907710173,3.3083376951580004,24.5,0x0000,0x4056
6,3.001135048999913,adis16470,-0.0275,0.025,1.00125,-0.269682875,0.24516625,9.8189083125,-4.329,0.12099999999999986,1.0470000000000006,-0.07555530331883452,0.0021118483949131364,0.01827359726838064,-6.206880237170891,1.7783707691411956,2.9415219151278,1.4303090419471012,1.5727813817109753,24.6,0x0000,0x4056
7,3.5012321240001256,adis16470,-0.0225,0.02625,0.99625,-0.220649625,0.25742456249999995,9.769875062499999,-2.129,0.4209999999999999,1.2470000000000006,-0.03715805977495928,0.007347836150896125,0.0217642557723693,-7.095976027966293,1.9750016426275439,3.5651473795389075,1.5093262718410019,1.2933388978798377,24.700000000000003,0x0000,0x4056
8,4.001324477999788,adis16470,-0.02375,0.0025,0.995,-0.2329079375,0.024516625,9.757616749999999,-2.329,0.020999999999999852,1.1470000000000005,-0.04064871827894794,0.0003665191429188066,0.020018926520374968,-8.092595115517343,1.9731404607657936,4.138751800124835,0.14395894207200274,1.3673488714381101,24.6,0x0000,0x4056
9,4.501423534999958,adis16470,-0.02625,0.04,1.00125,-0.25742456249999995,0.392266,9.8189083125,-0.8289999999999998,0.22099999999999986,1.8470000000000004,-0.01446877949903299,0.003857177646907466,0.032236231284335275,-8.291279509167767,2.072001263366544,5.062436777174798,2.2877533951107036,1.500596066453515,24.6,0x0000,0x4056
