sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,quat_i,quat_j,quat_k,quat_real,roll_deg,pitch_deg,yaw_deg
0,0.04005731899997045,bno085,2.1484375,0.13671875,9.39453125,-0.001953125,0.0,0.0,0.008544921875,-0.10589599609375,-0.00079345703125,0.99432373046875,6.299271349090265e-07,5.082985526643441e-08,-6.783830619382404e-06
1,0.08005561999993915,bno085,2.1484375,0.13671875,9.39453125,0.0078125,0.0,0.001953125,0.00860595703125,-0.10614013671875,-0.00079345703125,0.99432373046875,0.007028461492516862,-0.028450047891442915,-0.0005093966930817265
2,0.1200544200000877,bno085,2.1484375,0.13671875,9.39453125,-0.00390625,0.0,0.0,0.00860595703125,-0.10614013671875,-0.00079345703125,0.99432373046875,0.007028461492516862,-0.028450047891442915,-0.0005093966930817265
3,0.1600543510000989,bno085,2.1484375,0.17578125,9.390625,0.0,0.001953125,0.001953125,0.00860595703125,-0.1064453125,-0.00079345703125,0.9942626953125,0.007061313929942019,-0.06328023422864006,-0.00021909227057665664
4,0.20005487399998856,bno085,2.1484375,0.17578125,9.390625,0.0,0.001953125,0.001953125,0.008544921875,-0.106689453125,-0.00079345703125,0.9942626953125,0.00017752415116541344,-0.09172092455253104,0.0007650929243646585
5,0.24005465599998388,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.0,0.0,0.008544921875,-0.10699462890625,-0.00079345703125,0.99420166015625,0.00021033235940561977,-0.12655346320867514,0.001057441156684888
6,0.28005543800009036,bno085,2.1484375,0.17578125,9.390625,0.00390625,0.0,0.001953125,0.008544921875,-0.10723876953125,-0.00079345703125,0.99420166015625,0.0002823758053222972,-0.15500604259262385,0.0012971272303478633
7,0.32005470200010677,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.001953125,0.001953125,0.008544921875,-0.10723876953125,-0.00079345703125,0.99420166015625,0.0002823758053222972,-0.15500604259262385,0.0012971272303478633
8,0.3600550399999065,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.001953125,0.001953125,0.008544921875,-0.10748291015625,-0.00079345703125,0.994140625,0.00029717361808253065,-0.18272710722202076,0.0015294690889197421
9,0.40005376599992815,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.001953125,0.001953125,0.008544921875,-0.10772705078125,-0.00079345703125,0.994140625,0.00036921745873202966,-0.2111837940636963,0.0017691337677730185
10,0.4400539190000927,bno085,2.1484375,0.13671875,9.39453125,0.0,0.001953125,0.001953125,0.00848388671875,-0.10797119140625,-0.000732421875,0.994140625,-0.005789949673857809,-0.23957482694964607,0.009717138251226607
11,0.48005555300005653,bno085,2.1484375,0.13671875,9.39453125,0.0,0.001953125,0.0,0.00848388671875,-0.108154296875,-0.000732421875,0.99407958984375,-0.005794377983108438,-0.2601826239556453,0.009890346250262763
12,0.5200535389999459,bno085,2.1484375,0.17578125,9.390625,0.00390625,-0.001953125,0.0,0.00848388671875,-0.108154296875,-0.000732421875,0.99407958984375,-0.005794377983108438,-0.2601826239556453,0.009890346250262763
13,0.5600547100000313,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.001953125,0.0,0.0084228515625,-0.1083984375,-0.000732421875,0.99407958984375,-0.012681874401794802,-0.28863782483737505,0.010889846850785785
14,0.6000559179999527,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.001953125,0.0,0.0084228515625,-0.10858154296875,-0.00067138671875,0.99407958984375,-0.011907825262567652,-0.3099254305185663,0.018024942733466692
15,0.6400548300000537,bno085,2.1484375,0.13671875,9.39453125,0.0,-0.001953125,0.0,0.00836181640625,-0.10882568359375,-0.00067138671875,0.9940185546875,-0.018854223334053323,-0.3376420966533123,0.019020842433300093
16,0.6800550200000544,bno085,2.109375,0.17578125,9.390625,0.0,0.0,0.0,0.00830078125,-0.1090087890625,-0.000732421875,0.9940185546875,-0.02648034666744042,-0.3590478028344597,0.013014445194918676
17,0.7200543020001078,bno085,2.1484375,0.17578125,9.390625,0.00390625,0.001953125,0.0,0.00830078125,-0.1090087890625,-0.000732421875,0.9940185546875,-0.02648034666744042,-0.3590478028344597,0.013014445194918676
18,0.7600555659998918,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.0,0.0,0.00823974609375,-0.10919189453125,-0.00067138671875,0.99395751953125,-0.03272482465879066,-0.37958505465022824,0.020907036735877054
19,0.800055532999977,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.0,0.0,0.0081787109375,-0.10931396484375,-0.00067138671875,0.99395751953125,-0.03964945205642969,-0.3938123859091079,0.021795669675102453
20,0.8400541670000621,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.0,0.0,0.0081787109375,-0.1094970703125,-0.00067138671875,0.99395751953125,-0.03959960624220639,-0.41516711611910867,0.021983092154801813
21,0.8800560049999149,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.0,0.0,0.00823974609375,-0.109619140625,-0.0006103515625,0.99395751953125,-0.031893290018241496,-0.42935028492063226,0.028293374681813734
22,0.9200552499999048,bno085,2.1484375,0.17578125,9.390625,0.00390625,0.0,0.0,0.00823974609375,-0.109619140625,-0.0006103515625,0.99395751953125,-0.031893290018241496,-0.42935028492063226,0.028293374681813734
23,0.9600562359999003,bno085,2.109375,0.17578125,9.390625,-0.0078125,0.001953125,0.0,0.00830078125,-0.1097412109375,-0.00067138671875,0.99395751953125,-0.025615728166537993,-0.44365925449623267,0.020697931082357877
24,1.000055943999996,bno085,2.1484375,0.13671875,9.39453125,-0.0078125,0.001953125,0.0,0.00823974609375,-0.10986328125,-0.00067138671875,0.993896484375,-0.03259646931612591,-0.4571399943997324,0.02158113483915273
25,1.0400551150000865,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.0,0.0,0.00830078125,-0.1099853515625,-0.0006103515625,0.993896484375,-0.02489237663072597,-0.47132503219917743,0.02788761659109224
26,1.080056415999934,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.001953125,0.00830078125,-0.11004638671875,-0.0006103515625,0.993896484375,-0.024875994126535426,-0.4784447100515637,0.027949239764425118
27,1.1200567910000245,bno085,2.1484375,0.17578125,9.390625,0.001953125,-0.001953125,0.0,0.00830078125,-0.11004638671875,-0.0006103515625,0.993896484375,-0.024875994126535426,-0.4784447100515637,0.027949239764425118
28,1.1600541469999825,bno085,2.1484375,0.13671875,9.39453125,0.001953125,0.0,0.0,0.00823974609375,-0.11016845703125,-0.0006103515625,0.993896484375,-0.031802214564839545,-0.49267583250644004,0.02884300780554702
29,1.2000538929999038,bno085,2.1484375,0.17578125,9.390625,0.001953125,0.0,0.0,0.00823974609375,-0.11029052734375,-0.0006103515625,0.99383544921875,-0.031825164878532444,-0.5061638801548929,0.028958226239859514
30,1.240054359999931,bno085,2.1484375,0.17578125,9.390625,0.0078125,0.0,0.0,0.00830078125,-0.1103515625,-0.0006103515625,0.99383544921875,-0.02485000678322097,-0.5132928682044964,0.02824846914080814
31,1.2800541980000162,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.0,0.00830078125,-0.1104736328125,-0.0006103515625,0.99383544921875,-0.02481724623043585,-0.5275338045833579,0.028371710363897754
32,1.3200535539999692,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.0,0.00830078125,-0.1104736328125,-0.0006103515625,0.99383544921875,-0.02481724623043585,-0.5275338045833579,0.028371710363897754
33,1.3600562439999067,bno085,2.1484375,0.17578125,9.390625,0.0,0.0,0.0,0.00830078125,-0.110595703125,-0.0006103515625,0.99383544921875,-0.02478448701691378,-0.5417754720656389,0.028494954434063764
34,1.4000550999999177,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.0,0.00823974609375,-0.11065673828125,-0.0006103515625,0.99383544921875,-0.031727458647100554,-0.5488877444882939,0.029330519042295604
35,1.440053326999987,bno085,2.1484375,0.17578125,9.390625,0.0,0.0,0.0,0.00823974609375,-0.11077880859375,-0.0006103515625,0.99383544921875,-0.03169489338447225,-0.5631304960159065,0.02945462246907099
36,1.480055479999919,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.0,0.0081787109375,-0.11083984375,-0.0006103515625,0.9937744140625,-0.03869336272681735,-0.569487161406321,0.030282949928599055
37,1.5200535769999988,bno085,2.1484375,0.13671875,9.39453125,0.0,0.0,0.0,0.0081787109375,-0.11083984375,-0.0006103515625,0.9937744140625,-0.03869336272681735,-0.569487161406321,0.030282949928599055
38,1.5600549519999731,bno085,2.1484375,0.17578125,9.390625,0.0,0.0,0.0,0.0081787109375,-0.11090087890625,-0.0006103515625,0.9937744140625,-0.03867717747191947,-0.5766085935822753,0.03034542393088977
