sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.0002019359999962944,vn200,VNINS,-80.212,-5.348,-1.099,,,,,,,,,,353.251257,0000,1880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.251257,0000,1880,-080.212,-005.348,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*53"
1,0.045590753999988465,vn200,VNINS,-80.211,-5.348,-1.099,,,,,,,,,,353.276256,0000,1880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.276256,0000,1880,-080.211,-005.348,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*54"
2,0.08005676400000539,vn200,VNINS,-80.211,-5.348,-1.099,,,,,,,,,,353.301257,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.301257,0000,A080,-080.211,-005.348,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2C"
3,0.12005884199999173,vn200,VNINS,-80.21,-5.348,-1.1,,,,,,,,,,353.326256,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.326256,0000,A080,-080.210,-005.348,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*28"
4,0.16006431300002077,vn200,VNINS,-80.211,-5.348,-1.1,,,,,,,,,,353.351257,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.351257,0000,0880,-080.211,-005.348,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*51"
5,0.20005813599999556,vn200,VNINS,-80.21,-5.349,-1.101,,,,,,,,,,353.376256,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.376256,0000,0880,-080.210,-005.349,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*54"
6,0.24005842299999358,vn200,VNINS,-80.211,-5.349,-1.101,,,,,,,,,,353.401257,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.401257,0000,F080,-080.211,-005.349,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2D"
7,0.2800584500000127,vn200,VNINS,-80.21,-5.349,-1.101,,,,,,,,,,353.426256,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.426256,0000,F080,-080.210,-005.349,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*28"
8,0.3200576060000344,vn200,VNINS,-80.209,-5.348,-1.102,,,,,,,,,,353.451257,0000,5080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.451257,0000,5080,-080.209,-005.348,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*50"
9,0.36005704000001515,vn200,VNINS,-80.21,-5.348,-1.101,,,,,,,,,,353.476256,0000,5080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.476256,0000,5080,-080.210,-005.348,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
