sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x_gauss,mag_y_gauss,mag_z_gauss,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
0,0.0002094430001307046,vn200,VNYMR,-83.459,6.618,0.083,0.0253,0.0538,0.2636,1.095,-0.018,-9.523,9.2e-05,-0.000571,-0.000501,,,,,,,,,,"$VNYMR,-083.459,+006.618,+000.083,+00.0253,+00.0538,+00.2636,+01.095,-00.018,-09.523,+00.000092,-00.000571,-00.000501*67"
1,0.04005941900140897,vn200,VNYMR,-83.457,6.617,0.084,0.026,0.0553,0.2638,1.118,-0.007,-9.532,-0.000143,0.000679,0.00083,,,,,,,,,,"$VNYMR,-083.457,+006.617,+000.084,+00.0260,+00.0553,+00.2638,+01.118,-00.007,-09.532,-00.000143,+00.000679,+00.000830*67"
2,0.0800566540001455,vn200,VNYMR,-83.457,6.617,0.083,0.0253,0.056,0.2633,1.103,-0.021,-9.559,-0.00044,-0.000772,0.000504,,,,,,,,,,"$VNYMR,-083.457,+006.617,+000.083,+00.0253,+00.0560,+00.2633,+01.103,-00.021,-09.559,-00.000440,-00.000772,+00.000504*68"
3,0.12005787000089185,vn200,VNYMR,-83.458,6.616,0.084,0.0267,0.0536,0.2626,1.099,-0.002,-9.526,0.000691,0.000543,0.0004,,,,,,,,,,"$VNYMR,-083.458,+006.616,+000.084,+00.0267,+00.0536,+00.2626,+01.099,-00.002,-09.526,+00.000691,+00.000543,+00.000400*61"
4,0.16005682700051693,vn200,VNYMR,-83.458,6.615,0.084,0.0267,0.0548,0.2662,1.096,-0.016,-9.546,-0.000955,0.000761,-0.000675,,,,,,,,,,"$VNYMR,-083.458,+006.615,+000.084,+00.0267,+00.0548,+00.2662,+01.096,-00.016,-09.546,-00.000955,+00.000761,-00.000675*62"
5,0.20005854300143255,vn200,VNYMR,-83.458,6.615,0.084,0.0257,0.0533,0.2658,1.093,-0.025,-9.539,-2.4e-05,0.000343,0.001071,,,,,,,,,,"$VNYMR,-083.458,+006.615,+000.084,+00.0257,+00.0533,+00.2658,+01.093,-00.025,-09.539,-00.000024,+00.000343,+00.001071*67"
6,0.2400569630008249,vn200,VNYMR,-83.459,6.615,0.084,0.026,0.0531,0.2626,1.1,0.008,-9.547,0.000344,-0.000715,-0.000478,,,,,,,,,,"$VNYMR,-083.459,+006.615,+000.084,+00.0260,+00.0531,+00.2626,+01.100,+00.008,-09.547,+00.000344,-00.000715,-00.000478*6A"
7,0.28005597600167675,vn200,VNYMR,-83.458,6.614,0.083,0.0262,0.0536,0.2636,1.086,-0.008,-9.547,0.000661,-0.000425,-0.000815,,,,,,,,,,"$VNYMR,-083.458,+006.614,+000.083,+00.0262,+00.0536,+00.2636,+01.086,-00.008,-09.547,+00.000661,-00.000425,-00.000815*65"
8,0.3200561920002656,vn200,VNYMR,-83.456,6.614,0.084,0.0262,0.0524,0.2638,1.109,-0.022,-9.532,-7.6e-05,0.000417,0.00131,,,,,,,,,,"$VNYMR,-083.456,+006.614,+000.084,+00.0262,+00.0524,+00.2638,+01.109,-00.022,-09.532,-00.000076,+00.000417,+00.001310*65"
9,0.3600557600002503,vn200,VNYMR,-83.456,6.614,0.084,0.0255,0.0548,0.2636,1.097,-0.009,-9.569,0.000172,-0.000334,-0.001172,,,,,,,,,,"$VNYMR,-083.456,+006.614,+000.084,+00.0255,+00.0548,+00.2636,+01.097,-00.009,-09.569,+00.000172,-00.000334,-00.001172*67"
10,0.4000554580015887,vn200,VNYMR,-83.457,6.614,0.084,0.025,0.0541,0.2643,1.1,-0.036,-9.539,0.000176,5.2e-05,-0.000165,,,,,,,,,,"$VNYMR,-083.457,+006.614,+000.084,+00.0250,+00.0541,+00.2643,+01.100,-00.036,-09.539,+00.000176,+00.000052,-00.000165*68"
11,0.44005556299998716,vn200,VNYMR,-83.457,6.613,0.085,0.0255,0.0526,0.2624,1.125,-0.024,-9.54,0.000876,0.00037,-0.000399,,,,,,,,,,"$VNYMR,-083.457,+006.613,+000.085,+00.0255,+00.0526,+00.2624,+01.125,-00.024,-09.540,+00.000876,+00.000370,-00.000399*6A"
12,0.4800563720000355,vn200,VNYMR,-83.459,6.611,0.084,0.026,0.0533,0.2638,1.088,-0.018,-9.523,-2.9e-05,-0.000413,-0.000625,,,,,,,,,,"$VNYMR,-083.459,+006.611,+000.084,+00.0260,+00.0533,+00.2638,+01.088,-00.018,-09.523,-00.000029,-00.000413,-00.000625*66"
