elapsed_s,roll_deg,pitch_deg,yaw_deg,quat_i,quat_j,quat_k,quat_real,mag_x_uT,mag_y_uT,mag_z_uT
0.019,0.000,-0.000,0.000,0.13312,0.09064,0.00018,0.98694,4.9375,5.6875,-32.1875
0.125,0.099,-0.149,-0.531,0.13354,0.08997,-0.00464,0.98694,5.625,4.5625,-31.8125
0.224,0.161,-0.285,-1.024,0.13367,0.08936,-0.00909,0.98694,5.3125,3.4375,-31.875
0.322,0.161,-0.270,-1.019,0.13367,0.08948,-0.00903,0.98694,6.0,4.9375,-32.3125
0.419,0.161,-0.264,-1.027,0.13367,0.08954,-0.00909,0.98694,5.25,5.6875,-32.6875
0.516,0.176,-0.264,-1.033,0.13379,0.08954,-0.00916,0.98694,4.5625,6.0625,-32.6875
0.607,0.208,-0.317,-1.214,0.13391,0.08929,-0.01080,0.98688,5.25,4.875,-33.5625
0.706,0.217,-0.327,-1.240,0.13397,0.08923,-0.01105,0.98688,6.375,5.3125,-32.25
0.805,0.205,-0.328,-1.249,0.13385,0.08923,-0.01111,0.98694,5.3125,5.375,-29.8125
0.895,0.197,-0.335,-1.248,0.13379,0.08917,-0.01111,0.98694,4.5625,4.9375,-33.125
0.985,0.211,-0.334,-1.240,0.13391,0.08917,-0.01105,0.98694,5.6875,4.625,-30.25
1.080,0.226,-0.358,-1.314,0.13397,0.08905,-0.01172,0.98694,5.9375,6.4375,-33.0625
1.172,0.220,-0.368,-1.334,0.13391,0.08899,-0.01190,0.98694,5.625,4.9375,-32.6875
1.264,0.226,-0.390,-1.394,0.13391,0.08887,-0.01245,0.98694,5.25,4.875,-33.9375
1.354,0.227,-0.391,-1.401,0.13391,0.08887,-0.01251,0.98694,4.25,5.375,-31.4375
1.452,0.214,-0.392,-1.409,0.13379,0.08887,-0.01257,0.98694,5.6875,4.625,-29.8125
1.541,0.213,-0.399,-1.409,0.13379,0.08881,-0.01257,0.98694,4.9375,4.5625,-32.3125
1.633,0.215,-0.401,-1.422,0.13379,0.08881,-0.01270,0.98694,5.3125,5.0,-30.25
1.723,0.221,-0.407,-1.414,0.13385,0.08875,-0.01263,0.98694,6.0,4.1875,-32.3125
1.814,0.216,-0.410,-1.435,0.13379,0.08875,-0.01282,0.98694,5.3125,4.9375,-32.6875
1.907,0.229,-0.414,-1.419,0.13391,0.08868,-0.01270,0.98694,6.0,3.4375,-31.9375
2.002,0.248,-0.420,-1.467,0.13403,0.08868,-0.01312,0.98694,4.625,4.25,-30.3125
2.091,0.247,-0.426,-1.459,0.13403,0.08862,-0.01306,0.98694,5.25,5.6875,-32.6875
2.182,0.241,-0.427,-1.466,0.13397,0.08862,-0.01312,0.98694,6.375,4.9375,-31.5
2.271,0.241,-0.427,-1.466,0.13397,0.08862,-0.01312,0.98694,5.625,5.3125,-31.5
2.361,0.249,-0.436,-1.478,0.13403,0.08856,-0.01324,0.98694,5.25,5.25,-33.9375
